As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score,tconst,imdb_title,genres,averageRating,numVotes
2020-09-05,9,8,-,The Boss Baby: Get That Baby,Movie,Yes,"Sep 1, 2020",3,9,,,,,
2020-09-05,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",9,22,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-06,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",9,90,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-06,2,4,-,Away,TV Show,Yes,"Sep 4, 2020",2,16,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-06,3,2,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",3,25,tt11100856,"Love, Guaranteed","Comedy,Romance",5.6,20100
2020-09-06,4,3,-,The Smurfs,Movie,,"Sep 1, 2020",5,42,tt0472181,The Smurfs,"Adventure,Animation,Comedy",5.4,102851
2020-09-06,5,5,-,Due Date,Movie,,"Sep 1, 2020",5,26,tt1231583,Due Date,"Comedy,Drama",6.5,368777
2020-09-06,6,6,-,"Sister, Sister",TV Show,,"Sep 1, 2020",5,33,tt0108927,"Sister, Sister","Comedy,Drama,Family",6.3,14472
2020-09-06,7,7,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",4,15,,,,,
2020-09-06,8,9,-,The Boss Baby: Get That Baby,Movie,Yes,"Sep 1, 2020",4,12,,,,,
2020-09-06,9,8,2,Lucifer,TV Show,,"Dec 15, 2018",16,126,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2020-09-06,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",10,23,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-07,1,2,-,Away,TV Show,Yes,"Sep 4, 2020",3,26,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-07,2,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",10,99,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-07,3,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",4,33,tt11100856,"Love, Guaranteed","Comedy,Romance",5.6,20100
2020-09-07,4,5,-,Due Date,Movie,,"Sep 1, 2020",6,33,tt1231583,Due Date,"Comedy,Drama",6.5,368777
2020-09-07,5,4,-,The Smurfs,Movie,,"Sep 1, 2020",6,48,tt0472181,The Smurfs,"Adventure,Animation,Comedy",5.4,102851
2020-09-07,6,7,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",5,20,,,,,
2020-09-07,7,6,-,"Sister, Sister",TV Show,,"Sep 1, 2020",6,37,tt0108927,"Sister, Sister","Comedy,Drama,Family",6.3,14472
2020-09-07,8,9,3,Lucifer,TV Show,,"Dec 15, 2018",17,129,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2020-09-07,9,-,-,Anaconda,Movie,,"Sep 1, 2020",1,2,tt0118615,Anaconda,"Action,Adventure,Horror",4.9,119680
2020-09-07,10,-,-,Puss in Boots,Movie,,"Sep 1, 2020",1,1,tt0448694,Puss in Boots,"Action,Adventure,Animation",6.6,207075
2020-09-08,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",4,36,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-08,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",11,108,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-08,3,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",5,41,tt11100856,"Love, Guaranteed","Comedy,Romance",5.6,20100
2020-09-08,4,4,-,Due Date,Movie,,"Sep 1, 2020",7,40,tt1231583,Due Date,"Comedy,Drama",6.5,368777
2020-09-08,5,5,-,The Smurfs,Movie,,"Sep 1, 2020",7,54,tt0472181,The Smurfs,"Adventure,Animation,Comedy",5.4,102851
2020-09-08,6,6,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",6,25,,,,,
2020-09-08,7,7,-,"Sister, Sister",TV Show,,"Sep 1, 2020",7,41,tt0108927,"Sister, Sister","Comedy,Drama,Family",6.3,14472
2020-09-08,8,8,3,Lucifer,TV Show,,"Dec 15, 2018",18,132,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2020-09-08,9,9,-,Anaconda,Movie,,"Sep 1, 2020",2,4,tt0118615,Anaconda,"Action,Adventure,Horror",4.9,119680
2020-09-08,10,10,-,Puss in Boots,Movie,,"Sep 1, 2020",2,2,tt0448694,Puss in Boots,"Action,Adventure,Animation",6.6,207075
2020-09-09,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",5,46,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-09,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",12,117,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-09,3,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",6,49,tt11100856,"Love, Guaranteed","Comedy,Romance",5.6,20100
2020-09-09,4,-,-,#Alive,Movie,Yes,"Sep 8, 2020",1,7,tt10620868,#Alive,"Action,Drama,Horror",6.3,53436
2020-09-09,5,5,2,The Smurfs,Movie,,"Sep 1, 2020",8,60,tt0472181,The Smurfs,"Adventure,Animation,Comedy",5.4,102851
2020-09-09,6,4,10,Due Date,Movie,,"Sep 1, 2020",8,45,tt1231583,Due Date,"Comedy,Drama",6.5,368777
2020-09-09,7,7,3,"Sister, Sister",TV Show,,"Sep 1, 2020",8,45,tt0108927,"Sister, Sister","Comedy,Drama,Family",6.3,14472
2020-09-09,8,8,4,Lucifer,TV Show,,"Dec 15, 2018",19,135,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2020-09-09,9,6,-,Chefâs Table: BBQ,TV Show,Yes,"Sep 2, 2020",7,27,,,,,
2020-09-09,10,-,7,Cocomelon,TV Show,,"Jun 1, 2020",11,24,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-10,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",6,56,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-10,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",13,126,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-10,3,4,-,#Alive,Movie,Yes,"Sep 8, 2020",2,15,tt10620868,#Alive,"Action,Drama,Horror",6.3,53436
2020-09-10,4,-,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",1,7,,,,,
2020-09-10,5,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",7,55,tt11100856,"Love, Guaranteed","Comedy,Romance",5.6,20100
2020-09-10,6,5,2,The Smurfs,Movie,,"Sep 1, 2020",9,65,tt0472181,The Smurfs,"Adventure,Animation,Comedy",5.4,102851
2020-09-10,7,7,3,"Sister, Sister",TV Show,,"Sep 1, 2020",9,49,tt0108927,"Sister, Sister","Comedy,Drama,Family",6.3,14472
2020-09-10,8,6,4,Due Date,Movie,,"Sep 1, 2020",9,48,tt1231583,Due Date,"Comedy,Drama",6.5,368777
2020-09-10,9,10,8,Cocomelon,TV Show,,"Jun 1, 2020",12,26,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-10,10,8,5,Lucifer,TV Show,,"Dec 15, 2018",20,136,tt4052886,Lucifer,"Crime,Drama,Fantasy",8.0,384482
2020-09-11,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",7,66,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-11,2,-,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",1,9,tt11024272,The Babysitter: Killer Queen,"Comedy,Horror",5.8,58330
2020-09-11,3,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",14,134,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-11,4,4,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",2,14,,,,,
2020-09-11,5,3,-,#Alive,Movie,Yes,"Sep 8, 2020",3,21,tt10620868,#Alive,"Action,Drama,Horror",6.3,53436
2020-09-11,6,9,10,Cocomelon,TV Show,,"Jun 1, 2020",13,31,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-11,7,5,3,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",8,59,tt11100856,"Love, Guaranteed","Comedy,Romance",5.6,20100
2020-09-11,8,7,4,"Sister, Sister",TV Show,,"Sep 1, 2020",10,52,tt0108927,"Sister, Sister","Comedy,Drama,Family",6.3,14472
2020-09-11,9,-,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",1,2,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-11,10,6,2,The Smurfs,Movie,,"Sep 1, 2020",10,66,tt0472181,The Smurfs,"Adventure,Animation,Comedy",5.4,102851
2020-09-12,1,1,4,Away,TV Show,Yes,"Sep 4, 2020",8,76,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-12,2,2,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",2,18,tt11024272,The Babysitter: Killer Queen,"Comedy,Horror",5.8,58330
2020-09-12,3,3,1,Cobra Kai,TV Show,,"Aug 28, 2020",15,142,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-12,4,-,-,Pets United,Movie,Yes,"Sep 11, 2020",1,7,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-12,5,4,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",3,20,,,,,
2020-09-12,6,5,-,#Alive,Movie,Yes,"Sep 8, 2020",4,26,tt10620868,#Alive,"Action,Drama,Horror",6.3,53436
2020-09-12,7,-,-,Girlfriends,TV Show,,"Sep 11, 2020",1,4,tt0247102,Girlfriends,"Comedy,Drama,Romance",7.4,5455
2020-09-12,8,-,-,Cuties,Movie,Yes,"Sep 9, 2020",1,3,tt9196192,Cuties,Drama,3.6,33176
2020-09-12,9,9,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",2,4,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-12,10,-,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",1,1,tt10183988,Julie and the Phantoms,"Adventure,Comedy,Drama",8.4,13625
2020-09-13,1,1,2,Away,TV Show,Yes,"Sep 4, 2020",9,86,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-13,2,4,-,Pets United,Movie,Yes,"Sep 11, 2020",2,16,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-13,3,2,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",3,26,tt11024272,The Babysitter: Killer Queen,"Comedy,Horror",5.8,58330
2020-09-13,4,3,1,Cobra Kai,TV Show,,"Aug 28, 2020",16,149,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-13,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",4,26,,,,,
2020-09-13,6,6,-,#Alive,Movie,Yes,"Sep 8, 2020",5,31,tt10620868,#Alive,"Action,Drama,Horror",6.3,53436
2020-09-13,7,9,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",3,8,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-13,8,8,-,Cuties,Movie,Yes,"Sep 9, 2020",2,6,tt9196192,Cuties,Drama,3.6,33176
2020-09-13,9,7,-,Girlfriends,TV Show,,"Sep 11, 2020",2,6,tt0247102,Girlfriends,"Comedy,Drama,Romance",7.4,5455
2020-09-13,10,10,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",2,2,tt10183988,Julie and the Phantoms,"Adventure,Comedy,Drama",8.4,13625
2020-09-14,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",10,96,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-14,2,2,-,Pets United,Movie,Yes,"Sep 11, 2020",3,25,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-14,3,4,2,Cobra Kai,TV Show,,"Aug 28, 2020",17,157,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-14,4,3,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",4,33,tt11024272,The Babysitter: Killer Queen,"Comedy,Horror",5.8,58330
2020-09-14,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",5,32,,,,,
2020-09-14,6,7,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",4,13,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-14,7,8,-,Cuties,Movie,Yes,"Sep 9, 2020",3,10,tt9196192,Cuties,Drama,3.6,33176
2020-09-14,8,6,-,#Alive,Movie,Yes,"Sep 8, 2020",6,34,tt10620868,#Alive,"Action,Drama,Horror",6.3,53436
2020-09-14,9,9,-,Girlfriends,TV Show,,"Sep 11, 2020",3,8,tt0247102,Girlfriends,"Comedy,Drama,Romance",7.4,5455
2020-09-14,10,10,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",3,3,tt10183988,Julie and the Phantoms,"Adventure,Comedy,Drama",8.4,13625
2020-09-15,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",11,106,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-15,2,2,-,Pets United,Movie,Yes,"Sep 11, 2020",4,34,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-15,3,3,2,Cobra Kai,TV Show,,"Aug 28, 2020",18,165,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-15,4,6,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",5,20,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-15,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",6,38,,,,,
2020-09-15,6,4,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",5,38,tt11024272,The Babysitter: Killer Queen,"Comedy,Horror",5.8,58330
2020-09-15,7,7,-,Cuties,Movie,Yes,"Sep 9, 2020",4,14,tt9196192,Cuties,Drama,3.6,33176
2020-09-15,8,9,-,Girlfriends,TV Show,,"Sep 11, 2020",4,11,tt0247102,Girlfriends,"Comedy,Drama,Romance",7.4,5455
2020-09-15,9,-,-,Cocomelon,TV Show,,"Jun 1, 2020",14,33,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-15,10,10,-,Julie and the Phantoms,TV Show,Yes,"Sep 10, 2020",4,4,tt10183988,Julie and the Phantoms,"Adventure,Comedy,Drama",8.4,13625
2020-09-16,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",12,116,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-16,2,3,2,Cobra Kai,TV Show,,"Aug 28, 2020",19,174,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-16,3,2,-,Pets United,Movie,Yes,"Sep 11, 2020",5,42,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-16,4,4,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",6,27,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-16,5,5,-,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",7,44,,,,,
2020-09-16,6,6,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",6,43,tt11024272,The Babysitter: Killer Queen,"Comedy,Horror",5.8,58330
2020-09-16,7,7,-,Cuties,Movie,Yes,"Sep 9, 2020",5,18,tt9196192,Cuties,Drama,3.6,33176
2020-09-16,8,-,-,Ancient Aliens,TV Show,,"Sep 17, 2019",1,3,tt1643266,Ancient Aliens,"Fantasy,History,Sci-Fi",7.0,13389
2020-09-16,9,9,10,Cocomelon,TV Show,,"Jun 1, 2020",15,35,tt12427840,Cocomelon,"Adventure,Animation,Family",3.6,1419
2020-09-16,10,-,-,How to Train Your Dragon 2,Movie,,"Sep 11, 2020",1,1,tt1646971,How to Train Your Dragon 2,"Action,Adventure,Animation",7.8,393950
2020-09-17,1,-,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",1,10,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-17,2,1,1,Away,TV Show,Yes,"Sep 4, 2020",13,125,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-17,3,2,2,Cobra Kai,TV Show,,"Aug 28, 2020",20,182,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-17,4,4,-,The Social Dilemma,Movie,Yes,"Sep 9, 2020",7,34,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-17,5,3,-,Pets United,Movie,Yes,"Sep 11, 2020",6,48,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-17,6,-,-,The Smurfs 2,Movie,,"Sep 15, 2020",1,5,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-17,7,-,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",1,4,tt12930534,Challenger: The Final Flight,"Documentary,History",7.8,8487
2020-09-17,8,5,4,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",8,47,,,,,
2020-09-17,9,-,-,The Paramedic,Movie,Yes,"Sep 16, 2020",1,2,tt11127690,The Paramedic,"Crime,Drama,Thriller",5.7,15956
2020-09-17,10,8,-,Ancient Aliens,TV Show,,"Sep 17, 2019",2,4,tt1643266,Ancient Aliens,"Fantasy,History,Sci-Fi",7.0,13389
2020-09-18,1,1,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",2,20,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-18,2,2,1,Away,TV Show,Yes,"Sep 4, 2020",14,134,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-18,3,6,-,The Smurfs 2,Movie,,"Sep 15, 2020",2,13,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-18,4,7,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",2,11,tt12930534,Challenger: The Final Flight,"Documentary,History",7.8,8487
2020-09-18,5,3,3,Cobra Kai,TV Show,,"Aug 28, 2020",21,188,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-18,6,4,9,The Social Dilemma,Movie,Yes,"Sep 9, 2020",8,39,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-18,7,9,-,The Paramedic,Movie,Yes,"Sep 16, 2020",2,6,tt11127690,The Paramedic,"Crime,Drama,Thriller",5.7,15956
2020-09-18,8,5,-,Pets United,Movie,Yes,"Sep 11, 2020",7,51,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-18,9,8,4,Get Organized with The Home…,TV Show,Yes,"Sep 9, 2020",9,49,,,,,
2020-09-18,10,-,-,The Take,Movie,,"Sep 16, 2020",1,1,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-19,1,-,-,Ratched,TV Show,Yes,"Sep 18, 2020",1,10,tt7423538,Ratched,"Crime,Drama,History",7.2,77929
2020-09-19,2,-,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",1,9,,,,,
2020-09-19,3,3,-,The Smurfs 2,Movie,,"Sep 15, 2020",3,21,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-19,4,1,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",3,27,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-19,5,10,-,The Take,Movie,,"Sep 16, 2020",2,7,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-19,6,2,1,Away,TV Show,Yes,"Sep 4, 2020",15,139,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-19,7,5,3,Cobra Kai,TV Show,,"Aug 28, 2020",22,192,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-19,8,4,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",3,14,tt12930534,Challenger: The Final Flight,"Documentary,History",7.8,8487
2020-09-19,9,6,9,The Social Dilemma,Movie,Yes,"Sep 9, 2020",9,41,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-19,10,8,4,Pets United,Movie,Yes,"Sep 11, 2020",8,52,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-20,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",2,20,tt7423538,Ratched,"Crime,Drama,History",7.2,77929
2020-09-20,2,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",2,18,,,,,
2020-09-20,3,5,-,The Take,Movie,,"Sep 16, 2020",3,15,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-20,4,3,-,The Smurfs 2,Movie,,"Sep 15, 2020",4,28,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-20,5,4,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",4,33,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-20,6,6,1,Away,TV Show,Yes,"Sep 4, 2020",16,144,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-20,7,9,7,The Social Dilemma,Movie,Yes,"Sep 9, 2020",10,45,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-20,8,7,4,Cobra Kai,TV Show,,"Aug 28, 2020",23,195,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-20,9,8,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",4,16,tt12930534,Challenger: The Final Flight,"Documentary,History",7.8,8487
2020-09-20,10,10,2,Pets United,Movie,Yes,"Sep 11, 2020",9,53,tt11276598,Pets United,"Adventure,Animation,Comedy",3.7,3407
2020-09-21,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",3,30,tt7423538,Ratched,"Crime,Drama,History",7.2,77929
2020-09-21,2,3,-,The Take,Movie,,"Sep 16, 2020",4,24,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-21,3,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",3,26,,,,,
2020-09-21,4,4,-,The Smurfs 2,Movie,,"Sep 15, 2020",5,35,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-21,5,5,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",5,39,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-21,6,8,3,Cobra Kai,TV Show,,"Aug 28, 2020",24,200,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-21,7,7,6,The Social Dilemma,Movie,Yes,"Sep 9, 2020",11,49,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-21,8,6,1,Away,TV Show,Yes,"Sep 4, 2020",17,147,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-21,9,9,-,Challenger: The Final Flight,TV Show,Yes,"Sep 16, 2020",5,18,tt12930534,Challenger: The Final Flight,"Documentary,History",7.8,8487
2020-09-21,10,-,-,The Blacklist,TV Show,,"Sep 15, 2014",1,1,tt2741602,The Blacklist,"Crime,Drama,Mystery",7.9,296250
2020-09-22,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",4,40,tt7423538,Ratched,"Crime,Drama,History",7.2,77929
2020-09-22,2,3,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",4,35,,,,,
2020-09-22,3,2,-,The Take,Movie,,"Sep 16, 2020",5,32,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-22,4,4,-,The Smurfs 2,Movie,,"Sep 15, 2020",6,42,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-22,5,6,3,Cobra Kai,TV Show,,"Aug 28, 2020",25,206,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-22,6,5,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",6,44,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-22,7,8,1,Away,TV Show,Yes,"Sep 4, 2020",18,151,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-22,8,10,-,The Blacklist,TV Show,,"Sep 15, 2014",2,4,tt2741602,The Blacklist,"Crime,Drama,Mystery",7.9,296250
2020-09-22,9,7,4,The Social Dilemma,Movie,Yes,"Sep 9, 2020",12,51,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-22,10,-,-,The American Barbecue Showdown,TV Show,Yes,"Sep 18, 2020",1,1,tt12938472,The American Barbecue Showdown,"Game-Show,Reality-TV",7.2,2128
2020-09-23,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",5,50,tt7423538,Ratched,"Crime,Drama,History",7.2,77929
2020-09-23,2,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",5,44,,,,,
2020-09-23,3,3,-,The Take,Movie,,"Sep 16, 2020",6,40,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-23,4,4,-,The Smurfs 2,Movie,,"Sep 15, 2020",7,49,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-23,5,5,2,Cobra Kai,TV Show,,"Aug 28, 2020",26,212,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
2020-09-23,6,8,-,The Blacklist,TV Show,,"Sep 15, 2014",3,9,tt2741602,The Blacklist,"Crime,Drama,Mystery",7.9,296250
2020-09-23,7,10,-,The American Barbecue Showdown,TV Show,Yes,"Sep 18, 2020",2,5,tt12938472,The American Barbecue Showdown,"Game-Show,Reality-TV",7.2,2128
2020-09-23,8,7,1,Away,TV Show,Yes,"Sep 4, 2020",19,154,tt8787802,Away,"Drama,Romance,Sci-Fi",6.6,26841
2020-09-23,9,9,4,The Social Dilemma,Movie,Yes,"Sep 9, 2020",13,53,tt11464826,The Social Dilemma,"Documentary,Drama",7.6,93326
2020-09-23,10,6,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",7,45,tt7395114,The Devil All the Time,"Crime,Drama,Thriller",7.1,165633
2020-09-24,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",6,60,tt7423538,Ratched,"Crime,Drama,History",7.2,77929
2020-09-24,2,-,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",1,9,tt7846844,Enola Holmes,"Adventure,Crime,Drama",6.6,239490
2020-09-24,3,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",6,52,,,,,
2020-09-24,4,3,-,The Take,Movie,,"Sep 16, 2020",7,47,tt2368619,The Take,"Action,Adventure,Crime",6.3,54376
2020-09-24,5,4,6,The Smurfs 2,Movie,,"Sep 15, 2020",8,55,tt2017020,The Smurfs 2,"Adventure,Animation,Comedy",5.3,49677
2020-09-24,6,6,-,The Blacklist,TV Show,,"Sep 15, 2014",4,14,tt2741602,The Blacklist,"Crime,Drama,Mystery",7.9,296250
2020-09-24,7,5,3,Cobra Kai,TV Show,,"Aug 28, 2020",27,216,tt7221388,Cobra Kai,"Action,Comedy,Drama",8.4,237505
